effect_name,effect_id,effect_generation,partner_effects,rarity,availability,release_date,release_update
Ghastly Ghosts,3012,Halloween 2014,['Haunted Phantasm (green)'],Limited,['No Longer Obtainable'],2014-10-29,Scream Fortress VI
Haunted Phantasm,3011,Halloween 2014,['Ghastly Ghosts (purple)'],Limited,['No Longer Obtainable'],2014-10-29,Scream Fortress VI
Hellish Inferno,3013,Halloween 2016,[],Limited,['No Longer Obtainable'],2016-10-21,Scream Fortress VIII
Infernal Flames,3015,Halloween 2016,['Infernal Smoke (greeen)'],Limited,['No Longer Obtainable'],2016-10-21,Scream Fortress VIII
Infernal Smoke,3016,Halloween 2016,['Infernal Flames (purple)'],Limited,['No Longer Obtainable'],2016-10-21,Scream Fortress VIII
Spectral Swirl,3014,Halloween 2016,[],Limited,['No Longer Obtainable'],2016-10-21,Scream Fortress VIII
Acidic Bubbles of Envy,3017,Halloween 2018,"['Flammable Bubbles of Attraction (orange)', 'Poisonous Bubbles of Regret (purple)']",Limited,['No Longer Obtainable'],2018-10-19,Scream Fortress X
Flammable Bubbles of Attraction,3018,Halloween 2018,"['Acidic Bubbles of Envy (yellow)', 'Poisonous Bubbles of Regret (purple)']",Limited,['No Longer Obtainable'],2018-10-19,Scream Fortress X
Ominous Night,3022,Halloween 2018,['Spooky Night (black)'],Limited,['No Longer Obtainable'],2018-10-19,Scream Fortress X
Poisonous Bubbles of Regret,3019,Halloween 2018,"['Flammable Bubbles of Attraction (orange)', 'Acidic Bubbles of Envy (yellow)']",Limited,['No Longer Obtainable'],2018-10-19,Scream Fortress X
Roaring Rockets,3020,Halloween 2018,[],Limited,['No Longer Obtainable'],2018-10-19,Scream Fortress X
Spooky Night,3021,Halloween 2018,['Ominous Night (green)'],Limited,['No Longer Obtainable'],2018-10-19,Scream Fortress X
Accursed,3024,Halloween 2019,"['Bewitched (purple)', 'Enchanted (gold)']",Limited,['No Longer Obtainable'],2019-10-10,Scream Fortress XI
Bewitched,3023,Halloween 2019,"['Accursed (green)', 'Enchanted (gold)']",Limited,['No Longer Obtainable'],2019-10-10,Scream Fortress XI
Eerie Lightning,3027,Halloween 2019,"['Jarate Shock (yellow)', 'Terrifying Thunder (blue)']",Limited,['No Longer Obtainable'],2019-10-10,Scream Fortress XI
Enchanted,3025,Halloween 2019,"['Bewitched (purple)', 'Accursed (green)']",Limited,['No Longer Obtainable'],2019-10-10,Scream Fortress XI
Jarate Shock,3029,Halloween 2019,"['Eerie Lightning (purple)', 'Terrifying Thunder (blue)']",Limited,['No Longer Obtainable'],2019-10-10,Scream Fortress XI
Nether Void,3030,Halloween 2019,[],Limited,['No Longer Obtainable'],2019-10-10,Scream Fortress XI
Static Mist,3026,Halloween 2019,[],Limited,['No Longer Obtainable'],2019-10-10,Scream Fortress XI
Terrifying Thunder,3028,Halloween 2019,"['Jarate Shock (yellow)', 'Eerie Lightning (purple)']",Limited,['No Longer Obtainable'],2019-10-10,Scream Fortress XI
Arachnid Assault,3047,Halloween 2020,"['Creepy Crawlies (purple)', 'Toxic Terrors (green)']",Limited,['No Longer Obtainable'],2020-10-01,Scream Fortress XII
Arcane Assistance,3040,Halloween 2020,"['Astral Presence (green-purple)', 'Spectral Escort (lime-orange)']",Limited,['No Longer Obtainable'],2020-10-01,Scream Fortress XII
Astral Presence,3038,Halloween 2020,"['Arcane Assistance (team colors)', 'Spectral Escort (lime-orange)']",Limited,['No Longer Obtainable'],2020-10-01,Scream Fortress XII
Creepy Crawlies,3048,Halloween 2020,"['Arachnid Assault (red)', 'Toxic Terrors (green)']",Limited,['No Longer Obtainable'],2020-10-01,Scream Fortress XII
Emerald Allurement,3041,Halloween 2020,"['Pyrophoric Personality (orange)', 'Spellbound Aspect (purple)']",Limited,['No Longer Obtainable'],2020-10-01,Scream Fortress XII
Pyrophoric Personality,3042,Halloween 2020,"['Emerald Allurement (green)', 'Spellbound Aspect (purple)']",Limited,['No Longer Obtainable'],2020-10-01,Scream Fortress XII
Spectral Escort,3037,Halloween 2020,"['Astral Presence (green-purple)', 'Arcane Assistance (team colors)']",Limited,['No Longer Obtainable'],2020-10-01,Scream Fortress XII
Spellbound Aspect,3043,Halloween 2020,"['Pyrophoric Personality (orange)', 'Emerald Allurement (green)']",Limited,['No Longer Obtainable'],2020-10-01,Scream Fortress XII
Static Shock,3044,Halloween 2020,['Veno Shock (purple)'],Limited,['No Longer Obtainable'],2020-10-01,Scream Fortress XII
Toxic Terrors,3046,Halloween 2020,"['Creepy Crawlies (purple)', 'Arachnid Assault (red)']",Limited,['No Longer Obtainable'],2020-10-01,Scream Fortress XII
Veno Shock,3045,Halloween 2020,['Static Shock (gold)'],Limited,['No Longer Obtainable'],2020-10-01,Scream Fortress XII
Arctic Aurora,3033,Smissmas 2019,['Wintery Wisp (purple)'],Limited,['No Longer Obtainable'],2019-12-16,Smissmas 2019
Festive Spirit,3035,Smissmas 2019,"['Magical Spirit (purple-orange)', 'Winter Spirit (blue)']",Limited,['No Longer Obtainable'],2019-12-16,Smissmas 2019
Good-Hearted Goodies,3031,Smissmas 2019,[],Limited,['No Longer Obtainable'],2019-12-16,Smissmas 2019
Magical Spirit,3036,Smissmas 2019,"['Festive Spirit (green-orange)', 'Winter Spirit (blue)']",Limited,['No Longer Obtainable'],2019-12-16,Smissmas 2019
Winter Spirit,3034,Smissmas 2019,"['Magical Spirit (purple-orange)', 'Festive Spirit (green-orange)']",Limited,['No Longer Obtainable'],2019-12-16,Smissmas 2019
Wintery Wisp,3032,Smissmas 2019,['Arctic Aurora (blue)'],Limited,['No Longer Obtainable'],2019-12-16,Smissmas 2019
Apotheosis,,Smissmas 2020,['Ascension (purple)'],Limited,['No Longer Obtainable'],2020-12-03,Smissmas 2020
Ascension,,Smissmas 2020,['Apotheosis (blue)'],Limited,['No Longer Obtainable'],2020-12-03,Smissmas 2020
Delightful Star,,Smissmas 2020,['Frosted Star (blue)'],Limited,['No Longer Obtainable'],2020-12-03,Smissmas 2020
Frosted Star,,Smissmas 2020,['Delightful Star (green)'],Limited,['No Longer Obtainable'],2020-12-03,Smissmas 2020
Reindoonicorn Rancher,,Smissmas 2020,[],Limited,['No Longer Obtainable'],2020-12-03,Smissmas 2020
Shimmering Lights,,Smissmas 2020,['Twinkling Lights (red-green-blue)'],Limited,['No Longer Obtainable'],2020-12-03,Smissmas 2020
Twinkling Lights,,Smissmas 2020,['Shimmering Lights (blue-white-gold)'],Limited,['No Longer Obtainable'],2020-12-03,Smissmas 2020
'72,3004,Love & War,[],Common,['Unusualifier'],2014-06-18,Love & War Update
Fountain of Delight,3005,Love & War,[],Common,['Unusualifier'],2014-06-18,Love & War Update
Holy Grail,3003,Love & War,[],Common,['Unusualifier'],2014-06-18,Love & War Update
Mega Strike,3010,Love & War,[],Common,['Unusualifier'],2014-06-18,Love & War Update
Midnight Whirlwind,3008,Love & War,['Silver Cyclone (grey)'],Common,['Unusualifier'],2014-06-18,Love & War Update
Screaming Tiger,3006,Love & War,[],Common,['Unusualifier'],2014-06-18,Love & War Update
Showstopper,3002,Love & War,[],Common,['Unusualifier'],2014-06-18,Love & War Update
Silver Cyclone,3009,Love & War,['Midnight Whirlwind (black)'],Common,['Unusualifier'],2014-06-18,Love & War Update
Skill Gotten Gains,3007,Love & War,[],Common,['Unusualifier'],2014-06-18,Love & War Update
